Dates,Within 6 Months,Within 12 Months,Within 24 Months,Recession
date,number,number,number,number
1984-09-01,0.15164597401470256,0.4117693636861483,0.6846815537873466,-1
1984-10-01,0.13673663607594141,0.3980892796123746,0.6815830786764037,-1
1984-11-01,0.13374307501872093,0.3807935260291433,0.6636072962865944,-1
1984-12-01,0.11810139674246622,0.3317516214406748,0.604372717161713,-1
1985-01-01,0.1057670084789988,0.2843021179401187,0.5386438736959043,-1
1985-02-01,0.092069452759836,0.2420323628393865,0.4796797453195272,-1
1985-03-01,0.08448657747582948,0.21111634554361247,0.4366008605185217,-1
1985-04-01,0.07490954640583172,0.18361609238478535,0.39648632685801144,-1
1985-05-01,0.06545016556786179,0.15786410987534835,0.353434663305923,-1
1985-06-01,0.06019246372088399,0.1367510345267939,0.3132169888437711,-1
1985-07-01,0.06737230299043437,0.12463631058381036,0.2873577629021747,-1
1985-08-01,0.07994493895909466,0.1153214363223174,0.26489080772287743,-1
1985-09-01,0.09507376114170127,0.10850005172532338,0.2466135839359899,-1
1985-10-01,0.09151375190792893,0.09875359903814483,0.22656945008347654,-1
1985-11-01,0.0774676701998947,0.08606149920543545,0.2063494113437763,-1
1985-12-01,0.06390860411789591,0.07470264368719516,0.1898384282149648,-1
1986-01-01,0.05497871146618645,0.07014682989493504,0.18710748446153094,-1
1986-02-01,0.04705801014711595,0.06664207977973113,0.18760292414719698,-1
1986-03-01,0.04280954216534087,0.06569740866369964,0.19142318573981648,-1
1986-04-01,0.04814855564346566,0.07093454300361553,0.20087710730664823,-1
1986-05-01,0.052757263644930635,0.07298702496939216,0.2045350392576809,-1
1986-06-01,0.05017491056793592,0.06813282391261724,0.19577441168532314,-1
1986-07-01,0.04595622977094984,0.062399294795182435,0.18455620308630663,-1
1986-08-01,0.04103556387136329,0.05830070341262371,0.1774006075311907,-1
1986-09-01,0.03949547402082623,0.05719043031759766,0.173370841255976,-1
1986-10-01,0.034008200148391995,0.051344936120563164,0.16017215826946973,-1
1986-11-01,0.030854735590607224,0.04748942515433708,0.15029035007457814,-1
1986-12-01,0.028652678956800154,0.044899441986205595,0.14278266717052876,-1
1987-01-01,0.024593489420120185,0.04156542519371845,0.1386255788551507,-1
1987-02-01,0.02199368151478694,0.03939354196159899,0.1349257495105611,-1
1987-03-01,0.019845104610688905,0.03926040711971362,0.13765907595576402,-1
1987-04-01,0.017809144671716463,0.04282614158444893,0.15563484261891722,-1
1987-05-01,0.016422327449660448,0.05337812126326828,0.20029866242116862,-1
1987-06-01,0.014968652719245454,0.06073863840798588,0.23787681026259644,-1
1987-07-01,0.01321043103722235,0.061192126549648514,0.25520595826889836,-1
1987-08-01,0.012475635295909147,0.06971936929971552,0.2921118781297517,-1
1987-09-01,0.01231572902609241,0.08197623656616951,0.33818542178479577,-1
1987-10-01,0.0238412753586612,0.14215063492556906,0.41779975949651427,-1
1987-11-01,0.04826084062663531,0.20516035304540253,0.48545145909729914,-1
1987-12-01,0.04897156099985758,0.21606357114066466,0.5109064941681636,-1
1988-01-01,0.06364010699411157,0.24291301137268737,0.538702991512553,-1
1988-02-01,0.0911620295118277,0.28158110791928803,0.5710261012203289,-1
1988-03-01,0.10981338962124222,0.3008861132220603,0.5838585224773696,-1
1988-04-01,0.12082379246990882,0.31097450684441613,0.5904868272913371,-1
1988-05-01,0.11543880799366034,0.2966706227435913,0.5747918284873385,-1
1988-06-01,0.12664806394251837,0.3007582451544877,0.5729031990554673,-1
1988-07-01,0.14937725439906663,0.3255145842266095,0.5891945391160299,-1
1988-08-01,0.197652322773622,0.3742008439828334,0.6209833415198861,-1
1988-09-01,0.2187971755340737,0.400153143700819,0.6388492960531795,-1
1988-10-01,0.18003580241181752,0.3500097122157526,0.5986015700400485,-1
1988-11-01,0.14566087784310058,0.29802055260969035,0.5499630436773314,-1
1988-12-01,0.11910847376546946,0.27170158720389315,0.5441456412673507,-1
1989-01-01,0.09779036679961459,0.2514077501250483,0.5435004285289299,-1
1989-02-01,0.08693827607938034,0.2647002903195996,0.5695708973806901,-1
1989-03-01,0.07874616921193742,0.2956062867300342,0.6123702730482513,-1
1989-04-01,0.07169724523001247,0.3232883235640197,0.6509323720017961,-1
1989-05-01,0.06375694099167455,0.3283458497446211,0.6697477826928144,-1
1989-06-01,0.06448210089119401,0.34603751342061617,0.6849893342659581,-1
1989-07-01,0.06163164284428943,0.3387343446035471,0.6812039747869778,-1
1989-08-01,0.05676276344070733,0.3115399950774692,0.6543014618021575,-1
1989-09-01,0.05325947505098377,0.281206848179524,0.6143695521343924,-1
1989-10-01,0.04756641049470492,0.24670612999633446,0.5646525656065596,-1
1989-11-01,0.041038409831711475,0.2127835421548675,0.5138805776852354,-1
1989-12-01,0.034938115790936634,0.18225635432924453,0.46348314276104474,-1
1990-01-01,0.03975970775819633,0.17600727089870422,0.44293770444103564,-1
1990-02-01,0.03589621992622445,0.15838270941848642,0.4110000868476982,-1
